grib_message,start_byte,end_byte,range,reference_time,valid_time,variable,level,forecast_time,?,??,???,search_this
1,0,2178217.0,0-2178217,2026-05-17 06:00:00,2026-05-18 06:00:00,APTMP,2 m above ground,24 hour fcst,,,,:APTMP:2 m above ground:24 hour fcst:
2,2178218,3526103.0,2178218-3526103,2026-05-17 06:00:00,2026-05-18 06:00:00,CDCB,reserved,24 hour fcst,,,,:CDCB:reserved:24 hour fcst:
3,3526104,4312910.0,3526104-4312910,2026-05-17 06:00:00,2026-05-18 06:00:00,TCDC,reserved,24 hour fcst,,,,:TCDC:reserved:24 hour fcst:
4,4312911,6220980.0,4312911-6220980,2026-05-17 06:00:00,2026-05-18 06:00:00,CDCTOP,reserved,24 hour fcst,,,,:CDCTOP:reserved:24 hour fcst:
5,6220981,7980143.0,6220981-7980143,2026-05-17 06:00:00,2026-05-18 06:00:00,CDCB,reserved,24 hour fcst,,,,:CDCB:reserved:24 hour fcst:
6,7980144,8820930.0,7980144-8820930,2026-05-17 06:00:00,2026-05-18 06:00:00,TCDC,reserved,24 hour fcst,,,,:TCDC:reserved:24 hour fcst:
7,8820931,10659195.0,8820931-10659195,2026-05-17 06:00:00,2026-05-18 06:00:00,CDCTOP,reserved,24 hour fcst,,,,:CDCTOP:reserved:24 hour fcst:
8,10659196,10902626.0,10659196-10902626,2026-05-17 06:00:00,2026-05-18 06:00:00,CDCB,reserved,24 hour fcst,,,,:CDCB:reserved:24 hour fcst:
9,10902627,11172817.0,10902627-11172817,2026-05-17 06:00:00,2026-05-18 06:00:00,TCDC,reserved,24 hour fcst,,,,:TCDC:reserved:24 hour fcst:
10,11172818,11435656.0,11172818-11435656,2026-05-17 06:00:00,2026-05-18 06:00:00,CDCTOP,reserved,24 hour fcst,,,,:CDCTOP:reserved:24 hour fcst:
11,11435657,12451798.0,11435657-12451798,2026-05-17 06:00:00,2026-05-18 06:00:00,CDCB,high cloud layer,24 hour fcst,,,,:CDCB:high cloud layer:24 hour fcst:
12,12451799,12982930.0,12451799-12982930,2026-05-17 06:00:00,2026-05-18 06:00:00,TCDC,high cloud layer,24 hour fcst,,,,:TCDC:high cloud layer:24 hour fcst:
13,12982931,14910151.0,12982931-14910151,2026-05-17 06:00:00,2026-05-18 06:00:00,CAPE,surface,24 hour fcst,,,,:CAPE:surface:24 hour fcst:
14,14910152,19105737.0,14910152-19105737,2026-05-17 06:00:00,2026-05-18 06:00:00,CAPE,surface,24 hour fcst,ens std dev,,,:CAPE:surface:24 hour fcst:ens std dev:
15,19105738,20769950.0,19105738-20769950,2026-05-17 06:00:00,2026-05-18 06:00:00,CEIL,cloud ceiling,24 hour fcst,,,,:CEIL:cloud ceiling:24 hour fcst:
16,20769951,21430465.0,20769951-21430465,2026-05-17 06:00:00,2026-05-18 06:00:00,CEIL,cloud ceiling,24 hour fcst,prob <304.8,prob fcst 3/7,probability forecast,:CEIL:cloud ceiling:24 hour fcst:prob <304.8:prob fcst 3/7:probability forecast:
17,21430466,22198851.0,21430466-22198851,2026-05-17 06:00:00,2026-05-18 06:00:00,CEIL,cloud ceiling,24 hour fcst,prob <609.6,prob fcst 4/7,probability forecast,:CEIL:cloud ceiling:24 hour fcst:prob <609.6:prob fcst 4/7:probability forecast:
18,22198852,22732175.0,22198852-22732175,2026-05-17 06:00:00,2026-05-18 06:00:00,CEIL,cloud ceiling,24 hour fcst,prob <152.4,prob fcst 2/7,probability forecast,:CEIL:cloud ceiling:24 hour fcst:prob <152.4:prob fcst 2/7:probability forecast:
19,22732176,23541165.0,22732176-23541165,2026-05-17 06:00:00,2026-05-18 06:00:00,CEIL,cloud ceiling,24 hour fcst,prob <914.5,prob fcst 5/7,probability forecast,:CEIL:cloud ceiling:24 hour fcst:prob <914.5:prob fcst 5/7:probability forecast:
20,23541166,24418158.0,23541166-24418158,2026-05-17 06:00:00,2026-05-18 06:00:00,CEIL,cloud ceiling,24 hour fcst,prob <2011.68,prob fcst 6/7,probability forecast,:CEIL:cloud ceiling:24 hour fcst:prob <2011.68:prob fcst 6/7:probability forecast:
21,24418159,27817853.0,24418159-27817853,2026-05-17 06:00:00,2026-05-18 06:00:00,CEIL,cloud base,24 hour fcst,,,,:CEIL:cloud base:24 hour fcst:
22,27817854,28719324.0,27817854-28719324,2026-05-17 06:00:00,2026-05-18 06:00:00,CWASP,surface,24 hour fcst,5% level,,,:CWASP:surface:24 hour fcst:5% level:
23,28719325,29643747.0,28719325-29643747,2026-05-17 06:00:00,2026-05-18 06:00:00,CWASP,surface,24 hour fcst,10% level,,,:CWASP:surface:24 hour fcst:10% level:
24,29643748,30553230.0,29643748-30553230,2026-05-17 06:00:00,2026-05-18 06:00:00,CWASP,surface,24 hour fcst,25% level,,,:CWASP:surface:24 hour fcst:25% level:
25,30553231,31458101.0,30553231-31458101,2026-05-17 06:00:00,2026-05-18 06:00:00,CWASP,surface,24 hour fcst,50% level,,,:CWASP:surface:24 hour fcst:50% level:
26,31458102,32373625.0,31458102-32373625,2026-05-17 06:00:00,2026-05-18 06:00:00,CWASP,surface,24 hour fcst,75% level,,,:CWASP:surface:24 hour fcst:75% level:
27,32373626,33310997.0,32373626-33310997,2026-05-17 06:00:00,2026-05-18 06:00:00,CWASP,surface,24 hour fcst,90% level,,,:CWASP:surface:24 hour fcst:90% level:
28,33310998,34243654.0,33310998-34243654,2026-05-17 06:00:00,2026-05-18 06:00:00,CWASP,surface,24 hour fcst,95% level,,,:CWASP:surface:24 hour fcst:95% level:
29,34243655,35658845.0,34243655-35658845,2026-05-17 06:00:00,2026-05-18 06:00:00,CWASP,surface,24 hour fcst,unknown derived fcst,,,:CWASP:surface:24 hour fcst:unknown derived fcst:
30,35658846,36245411.0,35658846-36245411,2026-05-17 06:00:00,2026-05-18 06:00:00,CWASP,surface,24 hour fcst,prob >50,prob fcst 255/255,,:CWASP:surface:24 hour fcst:prob >50:prob fcst 255/255:
31,36245412,36751712.0,36245412-36751712,2026-05-17 06:00:00,2026-05-18 06:00:00,CWASP,surface,24 hour fcst,prob >65,prob fcst 255/255,,:CWASP:surface:24 hour fcst:prob >65:prob fcst 255/255:
32,36751713,37242946.0,36751713-37242946,2026-05-17 06:00:00,2026-05-18 06:00:00,CWASP,surface,24 hour fcst,prob >70,prob fcst 255/255,,:CWASP:surface:24 hour fcst:prob >70:prob fcst 255/255:
33,37242947,37720590.0,37242947-37720590,2026-05-17 06:00:00,2026-05-18 06:00:00,CWASP,surface,24 hour fcst,prob >75,prob fcst 255/255,,:CWASP:surface:24 hour fcst:prob >75:prob fcst 255/255:
34,37720591,38188945.0,37720591-38188945,2026-05-17 06:00:00,2026-05-18 06:00:00,CWASP,surface,24 hour fcst,prob >85,prob fcst 255/255,,:CWASP:surface:24 hour fcst:prob >85:prob fcst 255/255:
35,38188946,40054405.0,38188946-40054405,2026-05-17 06:00:00,2026-05-18 06:00:00,DPT,2 m above ground,24 hour fcst,,,,:DPT:2 m above ground:24 hour fcst:
36,40054406,42145862.0,40054406-42145862,2026-05-17 06:00:00,2026-05-18 06:00:00,DPT,2 m above ground,24 hour fcst,ens std dev,,,:DPT:2 m above ground:24 hour fcst:ens std dev:
37,42145863,42162196.0,42145863-42162196,2026-05-17 06:00:00,2026-05-18 06:00:00,DRYTPROB,surface,21-24 hour acc fcst,prob >0,prob fcst 0/21,probability forecast,:DRYTPROB:surface:21-24 hour acc fcst:prob >0:prob fcst 0/21:probability forecast:
38,42162197,43047550.0,42162197-43047550,2026-05-17 06:00:00,2026-05-18 06:00:00,DSWRF,surface,24 hour fcst,,,,:DSWRF:surface:24 hour fcst:
39,43047551,45209771.0,43047551-45209771,2026-05-17 06:00:00,2026-05-18 06:00:00,RETOP,cloud top,24 hour fcst,,,,:RETOP:cloud top:24 hour fcst:
40,45209772,46349420.0,45209772-46349420,2026-05-17 06:00:00,2026-05-18 06:00:00,ELLINX,400-300 mb,24 hour fcst,,,,:ELLINX:400-300 mb:24 hour fcst:
41,46349421,46825887.0,46349421-46825887,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,23-24 hour acc fcst,,,,:FICEAC:surface:23-24 hour acc fcst:
42,46825888,47308311.0,46825888-47308311,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,18-24 hour acc fcst,,,,:FICEAC:surface:18-24 hour acc fcst:
43,47308312,47496413.0,47308312-47496413,2026-05-17 06:00:00,2026-05-18 06:00:00,FRZSPR,surface,24 hour fcst,,,,:FRZSPR:surface:24 hour fcst:
44,47496414,47964780.0,47496414-47964780,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",1% level,,,":FICEAC:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:1% level:"
